dataset,model,source_curve,epoch,train_acc,val_acc,train_loss,val_loss
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,29,0.9826388955116272,0.9908758997917175,0.7166093587875366,0.6489746570587158
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,30,0.9869791865348816,0.9927007555961609,0.7010189890861511,0.6462602615356445
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,31,0.9878472089767456,0.9927007555961609,0.7016088366508484,0.6460294723510742
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,32,0.984375,0.9927007555961609,0.7098737955093384,0.6462360620498657
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,33,0.9835069179534912,0.9927007555961609,0.6993067264556885,0.6453354954719543
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,34,0.9869791865348816,0.9945255517959595,0.7057448625564575,0.6446563005447388
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,35,0.9826388955116272,0.9945255517959595,0.715435266494751,0.6422128081321716
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,36,0.9835069179534912,0.9927007555961609,0.7100875973701477,0.642029345035553
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,37,0.9826388955116272,0.9927007555961609,0.7017292380332947,0.6432651877403259
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,38,0.9826388955116272,0.9927007555961609,0.7077630162239075,0.6442782878875732
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,39,0.984375,0.9908758997917175,0.7035288214683533,0.6468024849891663
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,40,0.9904513955116272,0.9908758997917175,0.7000123262405396,0.6467695236206055
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,1,0.30604618787765503,0.3990536332130432,1.9259729385375977,1.6113516092300415
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,2,0.502547562122345,0.5753154754638672,1.3712122440338135,1.2104589939117432
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,3,0.6081861257553101,0.6242113709449768,1.0948542356491089,1.0603554248809814
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,4,0.663213312625885,0.6462934017181396,0.9423769116401672,0.979324460029602
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,5,0.7051630616188049,0.6656151413917542,0.820665717124939,0.9250707030296326
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,6,0.7520380616188049,0.6916403770446777,0.6997290253639221,0.8991628885269165
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,7,0.7841372489929199,0.6896687746047974,0.6128900051116943,0.9491220712661743
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,8,0.8131793737411499,0.6928233504295349,0.5304493308067322,0.93114173412323
ASP_clean,baseline,outputs/asp_as25_baseline_ASP_clean_seed42/20260508_221149/resnet50/training_curve.csv,9,0.832370936870575,0.7046530246734619,0.4600957930088043,0.9619485139846802
