dataset,model,true_class_index,pred_class_index,true_class_name,pred_class_name,count,row_normalized
AS25_clean,baseline,1,8,Achaemenid architecture,Bauhaus architecture,0,0.0
AS25_clean,baseline,1,9,Achaemenid architecture,Beaux-Arts architecture,0,0.0
AS25_clean,baseline,1,10,Achaemenid architecture,Byzantine architecture,0,0.0
AS25_clean,baseline,1,11,Achaemenid architecture,Chicago school architecture,0,0.0
AS25_clean,baseline,1,12,Achaemenid architecture,Colonial architecture,0,0.0
AS25_clean,baseline,1,13,Achaemenid architecture,Deconstructivism,1,0.008695652173913044
AS25_clean,baseline,1,14,Achaemenid architecture,Edwardian architecture,0,0.0
AS25_clean,baseline,1,15,Achaemenid architecture,Georgian architecture,0,0.0
AS25_clean,baseline,1,16,Achaemenid architecture,Gothic architecture,0,0.0
AS25_clean,baseline,1,17,Achaemenid architecture,Greek Revival architecture,0,0.0
AS25_clean,baseline,1,18,Achaemenid architecture,International style,0,0.0
AS25_clean,baseline,1,19,Achaemenid architecture,Novelty architecture,1,0.008695652173913044
AS25_clean,baseline,1,20,Achaemenid architecture,Palladian architecture,1,0.008695652173913044
AS25_clean,baseline,1,21,Achaemenid architecture,Postmodern architecture,0,0.0
AS25_clean,baseline,1,22,Achaemenid architecture,Queen Anne architecture,0,0.0
AS25_clean,baseline,1,23,Achaemenid architecture,Romanesque architecture,4,0.034782608695652174
AS25_clean,baseline,1,24,Achaemenid architecture,Russian Revival architecture,0,0.0
AS25_clean,baseline,1,25,Achaemenid architecture,Tudor Revival architecture,0,0.0
AS25_clean,baseline,2,1,American Foursquare architecture,Achaemenid architecture,0,0.0
AS25_clean,baseline,2,2,American Foursquare architecture,American Foursquare architecture,69,0.6388888888888888
AS25_clean,baseline,2,3,American Foursquare architecture,American craftsman style,16,0.14814814814814814
AS25_clean,baseline,2,4,American Foursquare architecture,Ancient Egyptian architecture,0,0.0
AS25_clean,baseline,2,5,American Foursquare architecture,Art Deco architecture,0,0.0
AS25_clean,baseline,2,6,American Foursquare architecture,Art Nouveau architecture,0,0.0
AS25_clean,baseline,2,7,American Foursquare architecture,Baroque architecture,0,0.0
AS25_clean,baseline,2,8,American Foursquare architecture,Bauhaus architecture,0,0.0
AS25_clean,baseline,2,9,American Foursquare architecture,Beaux-Arts architecture,0,0.0
AS25_clean,baseline,2,10,American Foursquare architecture,Byzantine architecture,0,0.0
AS25_clean,baseline,2,11,American Foursquare architecture,Chicago school architecture,0,0.0
AS25_clean,baseline,2,12,American Foursquare architecture,Colonial architecture,6,0.05555555555555555
AS25_clean,baseline,2,13,American Foursquare architecture,Deconstructivism,0,0.0
AS25_clean,baseline,2,14,American Foursquare architecture,Edwardian architecture,0,0.0
AS25_clean,baseline,2,15,American Foursquare architecture,Georgian architecture,3,0.027777777777777776
AS25_clean,baseline,2,16,American Foursquare architecture,Gothic architecture,0,0.0
AS25_clean,baseline,2,17,American Foursquare architecture,Greek Revival architecture,3,0.027777777777777776
AS25_clean,baseline,2,18,American Foursquare architecture,International style,2,0.018518518518518517
AS25_clean,baseline,2,19,American Foursquare architecture,Novelty architecture,0,0.0
AS25_clean,baseline,2,20,American Foursquare architecture,Palladian architecture,0,0.0
AS25_clean,baseline,2,21,American Foursquare architecture,Postmodern architecture,0,0.0
AS25_clean,baseline,2,22,American Foursquare architecture,Queen Anne architecture,8,0.07407407407407407
AS25_clean,baseline,2,23,American Foursquare architecture,Romanesque architecture,0,0.0
AS25_clean,baseline,2,24,American Foursquare architecture,Russian Revival architecture,0,0.0
AS25_clean,baseline,2,25,American Foursquare architecture,Tudor Revival architecture,1,0.009259259259259259
AS25_clean,baseline,3,1,American craftsman style,Achaemenid architecture,1,0.009174311926605505
AS25_clean,baseline,3,2,American craftsman style,American Foursquare architecture,34,0.3119266055045872
AS25_clean,baseline,3,3,American craftsman style,American craftsman style,60,0.5504587155963303
AS25_clean,baseline,3,4,American craftsman style,Ancient Egyptian architecture,0,0.0
AS25_clean,baseline,3,5,American craftsman style,Art Deco architecture,0,0.0
AS25_clean,baseline,3,6,American craftsman style,Art Nouveau architecture,0,0.0
AS25_clean,baseline,3,7,American craftsman style,Baroque architecture,0,0.0
AS25_clean,baseline,3,8,American craftsman style,Bauhaus architecture,1,0.009174311926605505
AS25_clean,baseline,3,9,American craftsman style,Beaux-Arts architecture,0,0.0
AS25_clean,baseline,3,10,American craftsman style,Byzantine architecture,0,0.0
AS25_clean,baseline,3,11,American craftsman style,Chicago school architecture,0,0.0
AS25_clean,baseline,3,12,American craftsman style,Colonial architecture,2,0.01834862385321101
AS25_clean,baseline,3,13,American craftsman style,Deconstructivism,0,0.0
AS25_clean,baseline,3,14,American craftsman style,Edwardian architecture,0,0.0
AS25_clean,baseline,3,15,American craftsman style,Georgian architecture,0,0.0
AS25_clean,baseline,3,16,American craftsman style,Gothic architecture,0,0.0
AS25_clean,baseline,3,17,American craftsman style,Greek Revival architecture,1,0.009174311926605505
AS25_clean,baseline,3,18,American craftsman style,International style,0,0.0
AS25_clean,baseline,3,19,American craftsman style,Novelty architecture,1,0.009174311926605505
AS25_clean,baseline,3,20,American craftsman style,Palladian architecture,0,0.0
AS25_clean,baseline,3,21,American craftsman style,Postmodern architecture,0,0.0
AS25_clean,baseline,3,22,American craftsman style,Queen Anne architecture,3,0.027522935779816515
AS25_clean,baseline,3,23,American craftsman style,Romanesque architecture,0,0.0
AS25_clean,baseline,3,24,American craftsman style,Russian Revival architecture,0,0.0
AS25_clean,baseline,3,25,American craftsman style,Tudor Revival architecture,6,0.05504587155963303
AS25_clean,baseline,4,1,Ancient Egyptian architecture,Achaemenid architecture,12,0.125
AS25_clean,baseline,4,2,Ancient Egyptian architecture,American Foursquare architecture,0,0.0
AS25_clean,baseline,4,3,Ancient Egyptian architecture,American craftsman style,0,0.0
AS25_clean,baseline,4,4,Ancient Egyptian architecture,Ancient Egyptian architecture,80,0.8333333333333334
AS25_clean,baseline,4,5,Ancient Egyptian architecture,Art Deco architecture,0,0.0
AS25_clean,baseline,4,6,Ancient Egyptian architecture,Art Nouveau architecture,0,0.0
AS25_clean,baseline,4,7,Ancient Egyptian architecture,Baroque architecture,0,0.0
AS25_clean,baseline,4,8,Ancient Egyptian architecture,Bauhaus architecture,1,0.010416666666666666
AS25_clean,baseline,4,9,Ancient Egyptian architecture,Beaux-Arts architecture,0,0.0
AS25_clean,baseline,4,10,Ancient Egyptian architecture,Byzantine architecture,0,0.0
AS25_clean,baseline,4,11,Ancient Egyptian architecture,Chicago school architecture,0,0.0
