dataset,role,task,seed,fold,status,checkpoint,result
AS25_clean,aafnet,as25_aafnet,42,2,robustness_complete,outputs/cv_as25_aafnet/public_cv_parity_v1/resnet50/seed42_fold2_train/20260619_164324/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_aafnet/public_cv_parity_v1/seed42_fold2/eval/resnet50/results.json
AS25_clean,aafnet,as25_aafnet,42,3,robustness_complete,outputs/cv_as25_aafnet/public_cv_parity_v1/resnet50/seed42_fold3_train/20260619_165050/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_aafnet/public_cv_parity_v1/seed42_fold3/eval/resnet50/results.json
AS25_clean,aafnet,as25_aafnet,42,4,robustness_complete,outputs/cv_as25_aafnet/public_cv_parity_v1/resnet50/seed42_fold4_train/20260619_165656/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_aafnet/public_cv_parity_v1/seed42_fold4/eval/resnet50/results.json
AS25_clean,aafnet,as25_aafnet,1337,0,robustness_complete,outputs/cv_as25_aafnet/public_cv_parity_v1/resnet50/seed1337_fold0_train/20260619_170357/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_aafnet/public_cv_parity_v1/seed1337_fold0/eval/resnet50/results.json
AS25_clean,aafnet,as25_aafnet,1337,1,robustness_complete,outputs/cv_as25_aafnet/public_cv_parity_v1/resnet50/seed1337_fold1_train/20260619_171057/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_aafnet/public_cv_parity_v1/seed1337_fold1/eval/resnet50/results.json
AS25_clean,aafnet,as25_aafnet,1337,2,robustness_complete,outputs/cv_as25_aafnet/public_cv_parity_v1/resnet50/seed1337_fold2_train/20260619_171737/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_aafnet/public_cv_parity_v1/seed1337_fold2/eval/resnet50/results.json
AS25_clean,aafnet,as25_aafnet,1337,3,robustness_complete,outputs/cv_as25_aafnet/public_cv_parity_v1/resnet50/seed1337_fold3_train/20260619_172449/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_aafnet/public_cv_parity_v1/seed1337_fold3/eval/resnet50/results.json
AS25_clean,aafnet,as25_aafnet,1337,4,robustness_complete,outputs/cv_as25_aafnet/public_cv_parity_v1/resnet50/seed1337_fold4_train/20260619_173154/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_aafnet/public_cv_parity_v1/seed1337_fold4/eval/resnet50/results.json
AS25_clean,aafnet,as25_aafnet,2024,0,robustness_complete,outputs/cv_as25_aafnet/public_cv_parity_v1/resnet50/seed2024_fold0_train/20260619_173847/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_aafnet/public_cv_parity_v1/seed2024_fold0/eval/resnet50/results.json
AS25_clean,aafnet,as25_aafnet,2024,1,robustness_complete,outputs/cv_as25_aafnet/public_cv_parity_v1/resnet50/seed2024_fold1_train/20260619_174517/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_aafnet/public_cv_parity_v1/seed2024_fold1/eval/resnet50/results.json
AS25_clean,aafnet,as25_aafnet,2024,2,robustness_complete,outputs/cv_as25_aafnet/public_cv_parity_v1/resnet50/seed2024_fold2_train/20260619_175211/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_aafnet/public_cv_parity_v1/seed2024_fold2/eval/resnet50/results.json
AS25_clean,aafnet,as25_aafnet,2024,3,robustness_complete,outputs/cv_as25_aafnet/public_cv_parity_v1/resnet50/seed2024_fold3_train/20260619_175901/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_aafnet/public_cv_parity_v1/seed2024_fold3/eval/resnet50/results.json
AS25_clean,aafnet,as25_aafnet,2024,4,robustness_complete,outputs/cv_as25_aafnet/public_cv_parity_v1/resnet50/seed2024_fold4_train/20260619_180535/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_aafnet/public_cv_parity_v1/seed2024_fold4/eval/resnet50/results.json
