dataset,role,task,seed,fold,condition,stage,metric,value,temperature,result_path
ASP_clean,baseline,asp_baseline,42,2,clean,pre,brier,0.43948974143692315,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,clean,post,accuracy,0.7263963708534165,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,clean,post,ece,0.11422508018345343,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,clean,post,nll,0.9286198616027832,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,clean,post,brier,0.4086639204441998,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,noise_0_05,pre,accuracy,0.15423872979869577,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,noise_0_05,pre,ece,0.5935691146732964,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,noise_0_05,pre,nll,5.156722545623779,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,noise_0_05,pre,brier,1.356137187089555,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,noise_0_05,post,accuracy,0.15423872979869577,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,noise_0_05,post,ece,0.4840956049175684,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,noise_0_05,post,nll,3.8155879974365234,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,noise_0_05,post,brier,1.2276033360345757,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,noise_0_10,pre,accuracy,0.09668273320102069,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,noise_0_10,pre,ece,0.9015781138887613,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,noise_0_10,pre,nll,24.83397102355957,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,noise_0_10,pre,brier,1.803911002954928,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,noise_0_10,post,accuracy,0.09668273320102069,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,noise_0_10,post,ece,0.9008730367387967,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,noise_0_10,post,nll,24.734596252441406,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,noise_0_10,post,brier,1.802893581237892,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,3,clean,pre,accuracy,0.7255457896229089,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,clean,pre,ece,0.17717197463064244,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,clean,pre,nll,1.1798787117004395,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,clean,pre,brier,0.4412974076995563,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,clean,post,accuracy,0.7255457896229089,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,clean,post,ece,0.12792017758484092,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,clean,post,nll,0.9327548146247864,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,clean,post,brier,0.4107304914360366,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,noise_0_05,pre,accuracy,0.15849163595123333,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,noise_0_05,pre,ece,0.5372859280559609,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,noise_0_05,pre,nll,4.3491692543029785,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,noise_0_05,pre,brier,1.2910075360067008,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,noise_0_05,post,accuracy,0.15849163595123333,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,noise_0_05,post,ece,0.43177884834867925,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,noise_0_05,post,nll,3.37073016166687,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,noise_0_05,post,brier,1.1715959255641395,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,noise_0_10,pre,accuracy,0.1341083073433513,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,noise_0_10,pre,ece,0.8164590852166629,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,noise_0_10,pre,nll,21.657989501953125,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,noise_0_10,pre,brier,1.6604656673595817,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,noise_0_10,post,accuracy,0.1341083073433513,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,noise_0_10,post,ece,0.7963028347691632,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,noise_0_10,post,nll,21.319805145263672,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,3,noise_0_10,post,brier,1.631351174880096,1.4255273342132568,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold3/results.json
ASP_clean,baseline,asp_baseline,42,4,clean,pre,accuracy,0.7207258293166997,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,clean,pre,ece,0.17128409199820113,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,clean,pre,nll,1.1597015857696533,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,clean,pre,brier,0.44600840970743705,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,clean,post,accuracy,0.7207258293166997,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,clean,post,ece,0.12409948957922914,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,clean,post,nll,0.9488070011138916,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,clean,post,brier,0.4195325308482049,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,noise_0_05,pre,accuracy,0.14800113410830734,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,noise_0_05,pre,ece,0.536758600617726,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,noise_0_05,pre,nll,4.279318332672119,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,noise_0_05,pre,brier,1.2924810811083292,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,noise_0_05,post,accuracy,0.14800113410830734,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,noise_0_05,post,ece,0.4374712654617849,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,noise_0_05,post,nll,3.426138162612915,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,noise_0_05,post,brier,1.1769418902166806,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,noise_0_10,pre,accuracy,0.09696626027785654,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,noise_0_10,pre,ece,0.9018963454531513,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,noise_0_10,pre,nll,24.828975677490234,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,noise_0_10,pre,brier,1.8040217623445143,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,noise_0_10,post,accuracy,0.09696626027785654,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,noise_0_10,post,ece,0.9014774902974846,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,noise_0_10,post,nll,24.725404739379883,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,42,4,noise_0_10,post,brier,1.8034581145457687,1.3703773021697998,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold4/results.json
ASP_clean,baseline,asp_baseline,1337,0,clean,pre,accuracy,0.7227105188545506,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,clean,pre,ece,0.1606405210969872,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
ASP_clean,baseline,asp_baseline,1337,0,clean,pre,nll,1.0713509321212769,1.4102232456207275,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed1337_fold0/results.json
