dataset,role,task,seed,fold,metric,value,clean_accuracy,result_path
ASP_clean,baseline,asp_baseline,1337,4,gauss_noise_mean,0.1106700689915887,0.7280975333144315,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold4/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,4,motion_blur_mean,0.41158680654002455,0.7280975333144315,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold4/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,4,jpeg_compress_mean,0.6953974104526982,0.7280975333144315,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold4/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,4,brightness_mean,0.673093280408279,0.7280975333144315,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold4/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,4,occlusion_mean,0.6724317172289954,0.7280975333144315,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold4/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,4,all_corruption_mean,0.5126358567243172,0.7280975333144315,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold4/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,0,gauss_noise_mean,0.14847367923636706,0.7360362914658349,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold0/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,0,motion_blur_mean,0.4362536622247425,0.7360362914658349,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold0/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,0,jpeg_compress_mean,0.6929401757867877,0.7360362914658349,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold0/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,0,brightness_mean,0.6837728003024289,0.7360362914658349,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold0/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,2024,0,occlusion_mean,0.6704470276911445,0.7360362914658349,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed2024_fold0/eval/resnet50/results.json
